Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Q1_Prominence,Q2_Age,Q2a_Age_SpecifyOther,Q3_Sex,Q4_Gender,Q5_LGBTQ,Q6_Animated,Q6a_Animated_OtherSpecify,Q7_Race_Ethnicity,Q7a_RE_OtherSpecify,Q8_Disability,Q9a_Shopping,Q9b_Driving,Q9c_Cleaning,Q9d_Cooking,Q9e_Working,Q9f_Socializing,Q9g_Nothing,Q9h_Eating/Drinking,Q9i_Exercising,Q9j_Activity Other,Q9j_Activity_Other_Specify,Q10a_Kitchen,Q10b_Office,Q10c_Car,Q10d_Store,Q10e_Outdoors,Q10f_Living Room,Q10g_Restaurant_Bar,Q10h_Gym,Q10i_Bedroom,Q10j_Bathroom,Q10k_Sporting_Event,Q10l_Classroom,Q10m_Location_Other,Q10m_Location_Other_Specify,Q11_Revealing_Clothing,Q12_Nudity,Q12a_Nudity_Other_Specify,Q13_Visually_Objectified,Q14_Verbally_Objectified,Q15_Intelligence,Q16_Humor,Q17_Occupation,Q18_Leader,Q19_Authority,Q20_Body Type,Q20a_Body_Type_Other_Specify,Q21a_Disordered_Eating,Q21b_Selfy_injury,Q21c_NegativeTalk,Q21d_Body_Modification,Q22a_Visual_Shame,Q22b_Verbal_Shame,Q22c_Sizeist_Slurs,Q22d_Punchline,Q22e_Denied_Personal_Opportunity,Q22f_Denied_Professional_Opportunity,Q22g_Other_Prejudice,Q22g_Prejudice_Other_Specify,Q23a_Lazy,Q23b_Physically_Slow,Q23c_Stupid,Q23d_Loser,Q23e_Inactive,Q23f_Poorly_Dressed,Q23g_Funny,Q23h_Jolly,Q23i_Clumsy,Q23j_Alone,Q24a_Comic_Relief,Q24b_Sidekick,Q24c_Mamma_Hen,Q24d_Nympho,Q25_Fat_to_Fit,Q26_Inspo_Porn,Q27_NOTES,Notes on Dwelling
Romeo,Mega Impression V1,Orbit,Russia,2020,2020,Confectionary,BBDO,Squirrel Man,man in squirrel costume,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Gorilla Man,man in gorilla costume,2,5,,2,10,0,0,,10,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Man ,blowing bubbles,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Older Woman,older woman with first woman,2,8,,1,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Squirrel Man,man in squirrel costume,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BBQ CTA,Orbit,United States,2020,2020,Confectionary,BBDO,Male,by pool side,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,The Talk,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,2,3,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,U Up?,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,2,3,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Send Nudes,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,2,3,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Dirty Pickup,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,2,3,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Protection,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,2,3,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Bed,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Father,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Ghosted,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,7,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression - Girl,Orbit,Russia,2020,2020,Confectionary,BBDO,Woman,main woman on screen,2,4,,1,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Woman,first woman in fighting rink,2,4,,1,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,The Unintimidator,Pedigree,United States,2020,2020,Petcare,BBDO,Man in the clouds,,1,11,adult,1,10,0,1,animated triclops,10,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,2,0,0,0,2,10,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree - Small Dogs,Pedigree,Russia,2020,2020,Petcare,BBDO,Talking Head in Sky,talking three-eyed purple head in sky,2,6,,2,10,0,1,animated talking head,9,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,floating in sky,0,0,,0,0,0,9,0,0,0,10,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,The Underestimator,Pedigree,United States,2020,2020,Petcare,BBDO,Superhero,Yellow cape,1,5,,1,10,0,1,Animated superhero,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Set,1,1,,0,0,0,0,0,1,3,6,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Woman wearing gray tee,"Short dark hair, gray t-shirt, gray printed leggings",2,5,,1,10,0,0,,3,,0,0,0,0,0,0,0,0,0,0,1,Playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,5,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Shannon,"Long light brown hair, black rimmed glasses, t-shirt",1,7,,1,10,0,0,,1,,0,0,0,0,0,1,1,1,0,1,1,"Playing with dog, maintaining truck",0,0,1,0,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,1,1,1,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Woman with green hair,"Shoulder-length green hair, gray shirt, gray jeans",2,4,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,Bringing dog out to owner,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,1,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Man wearing blue,"Blue t-shirt, red hair, glasses",2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,1,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pamela,Meatball Parm,Pedigree,United States,2020,2020,Petcare,BBDO,Man holding sandwich,"Brown cardigan, blue shirt, khaki pants",1,5,,2,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0,0,0,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,"not quite sure of race. family does not look white, possibly australian native?",
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Humane society employee 4,With brown/white dog,2,5,,1,10,0,0,,3,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Mobile pet adoption site/vehicle,0,0,,0,0,0,0,1,0,2,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Romeo,Ball Bite,Pedigree,Russia,2020,2020,Petcare,BBDO,Owner #2,,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,4,,10,10,10,10,10,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,younger woman,brown hair,2,4,,1,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,black man,trucker,1,4,,2,10,0,0,,3,,0,0,1,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Mutts for Trucks - Jacinda,Pedigree,United States,2019,2020,Petcare,BBDO,Jacinda Duran,,1,6,,1,10,0,0,,1,,0,0,1,0,1,1,0,0,1,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,woman,trucker,2,6,,1,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Pedigree Puppy Sword,Pedigree,Latin America,2020,2020,Petcare,BBDO,boy ,yellow shirt,2,1,,2,10,10,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Trucker's daughter,Pink t-shirt,1,1,,1,10,10,0,,3,,0,0,0,0,0,0,0,0,0,0,1,"Talking on phone, Playing",0,0,0,0,1,1,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,Pedigree Puppy - The Good,Pedigree,Latin America,2020,2020,Petcare,BBDO,Girl with dog,Girl with Dog,2,1,,1,10,10,0,,3,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Young Toddler #1,little girl in white top and yellow headband and pants,2,1,,1,10,10,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Grandaughter #1,little brunette girl on phone with family,2,1,,1,10,10,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,COVID 19 Social Feed 5,Pedigree,United States,2020,2020,Petcare,BBDO,Woman petting dog,"White hair in ponytail, bangs, wearing plaid shirt",2,8,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,Petting dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Meatball Parm,Pedigree,United States,2020,2020,Petcare,BBDO,Woman wearing green,"Green jacket, striped shirt, blue jeans",1,5,,1,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,1,Petting dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0,1,1,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,Dentastix Studios,Pedigree,New Zealand,2020,2020,Petcare,BBDO,Woman posing,Woman posing,2,4,,1,10,0,0,,5,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,COVID 19 Social Feed 2,Pedigree,United States,2020,2020,Petcare,BBDO,woman,blond,2,4,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Wet Race,Pedigree,Russia,2020,2020,Petcare,BBDO,Dog owner 2,Pink t-shirt,2,5,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,Grooming/racing dogs,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,The Unintimidator,Pedigree,United States,2020,2020,Petcare,BBDO,Owner,,1,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,3,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Husband #1,in bed with black beard,2,5,,2,10,0,0,,2,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Hipster #1,hipster in coffee shop with tattoos and beard and dog?,2,5,,2,10,0,0,,2,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,The Underestimator,Pedigree,United States,2020,2020,Petcare,BBDO,Dog owner,Blue button-down,2,5,,2,10,0,0,,2,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,COVID 19 Social Feed 4,Pedigree,United States,2020,2020,Petcare,BBDO,Owner,,2,8,,1,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Older Woman #1,long white hair and dog/blue sweater,2,8,,1,10,0,0,,3,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Older Man #1,black glasses and blue sweater,2,8,,2,10,0,0,,3,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Puppy Friend,Pedigree,Latin America,2020,2020,Petcare,BBDO,Little Girl,small girl playing with puppets,2,1,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with toys and dog,0,0,0,0,1,1,0,0,1,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree - Small Dogs - Taksa,Pedigree,Russia,2020,2020,Petcare,BBDO,Superheroine,lady with gauntlets and armor,1,5,,1,10,0,1,animated woman,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,9,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree - Small Dogs - Taksa,Pedigree,Russia,2020,2020,Petcare,BBDO,Man,owner guy of dog,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,1,helping dog onto couch,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Trucker,Blue t-shirt,1,5,,2,10,0,0,,3,,0,0,1,0,0,1,0,1,0,0,1,"Talking on phone, Parenting",0,0,1,0,1,1,0,0,0,0,0,0,1,"Hotel, Mobile pet adoption site/vehicle",0,0,,0,0,0,0,1,0,1,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Humane society employee 1,Black t-shirt,2,5,,1,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Mobile pet adoption site/vehicle,0,0,,0,0,0,0,1,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Humane society employee 3,Green t-shirt,2,5,,2,10,0,0,,3,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Mobile pet adoption site/vehicle,0,0,,0,0,0,0,1,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Humane society employee 2,Red glasses,2,6,,2,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Mobile pet adoption site/vehicle,0,0,,0,0,0,0,1,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Mile,Pedigree,United States,2020,2020,Petcare,BBDO,Man on plane,"Curly brown hair, wearing yellow/tan jacket",1,5,,2,10,0,0,,8,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Airplane,0,0,,0,0,0,0,0,1,1,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Mile,Pedigree,United States,2020,2020,Petcare,BBDO,Woman on plane,"Red hair, wearing white collared shirt",1,5,,1,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Airplane,0,0,,0,0,0,3,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Obstacle Walk,Pedigree,Russia,2020,2020,Petcare,BBDO,Man #1,man in blue jacket and tee and grey pants,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,0,0,0,0,0,0,0,0,1,studio made to look like park/outside,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Obstacle Walk,Pedigree,Russia,2020,2020,Petcare,BBDO,Man #2,other man in grey track suit,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Ball Bite,Pedigree,Russia,2020,2020,Petcare,BBDO,Owner #1,,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Ball Bite,Pedigree,Russia,2020,2020,Petcare,BBDO,Ref,,2,5,,2,10,0,0,,1,,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,,0,0,0,0,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Trailer,Pedigree,Russia,2020,2020,Petcare,BBDO,Man #1,man in blue jacket and tee and grey pants,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,0,0,0,0,0,0,0,0,1,studio made to look like park/outside,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
